repo_name,package,version,language,license,health_score,custom_health_score,description,popularity_info_stars,popularity_info_forks,maintenance_info,dependents,security_info,security_advisories,security_score,deprecated,deps_url,snyk_url,socket_url
ovikl,apn,2.2.0,npm,N/A,2.4,3.0,:calling: Apple Push Notification module for Node.js,4418,679,0,100,N/A,N/A,0,None,https://deps.dev/npm/apn/2.2.0,https://snyk.io/advisor/npm-package/apn,https://socket.dev/npm/package/apn
ovikl,connect-multiparty,2.2.0,npm,N/A,3.9,5.5,connect middleware for multiparty,349,53,0,436,1,GHSA-w2xw-44r3-4v9g,10,"This package is archived and no longer maintained. For support, visit https://github.com/expressjs/express/discussions",https://deps.dev/npm/connect-multiparty/2.2.0,https://snyk.io/advisor/npm-package/connect-multiparty,https://socket.dev/npm/package/connect-multiparty
ovikl,express,4.10.6,npm,N/A,8.6,8.4,"Fast, unopinionated, minimalist web framework for node.",68357,21810,10,21,2,"GHSA-qw6h-vgh9-j6wx, GHSA-rv95-896h-c2vc",10,None,https://deps.dev/npm/express/4.10.6,https://snyk.io/advisor/npm-package/express,https://socket.dev/npm/package/express
ovikl,connect,2.14.4,npm,N/A,4.1,5.0,Connect is a middleware layer for Node.js,9903,1087,0,6,N/A,N/A,10,connect 2.x series is deprecated,https://deps.dev/npm/connect/2.14.4,https://snyk.io/advisor/npm-package/connect,https://socket.dev/npm/package/connect
ovikl,jsonwebtoken,8.5.1,npm,N/A,5.7,6.9,JsonWebToken implementation for node.js http://self-issued.info/docs/draft-ietf-oauth-json-web-token.html,18124,1260,1,35450,3,"GHSA-8cf7-32gw-wr33, GHSA-hjrf-2m68-5959, GHSA-qwph-4952-7xr6",10,None,https://deps.dev/npm/jsonwebtoken/8.5.1,https://snyk.io/advisor/npm-package/jsonwebtoken,https://socket.dev/npm/package/jsonwebtoken
ovikl,mongodb,3.3.2,npm,N/A,6.2,7.0,The official MongoDB Node.js driver,10183,1819,10,97,N/A,N/A,7,None,https://deps.dev/npm/mongodb/3.3.2,https://snyk.io/advisor/npm-package/mongodb,https://socket.dev/npm/package/mongodb
ovikl,redis,2.8.0,npm,N/A,5.8,6.2,A high performance Node.js Redis client.,12924,1436,10,5737,1,GHSA-35q2-47q7-3pc3,0,None,https://deps.dev/npm/redis/2.8.0,https://snyk.io/advisor/npm-package/redis,https://socket.dev/npm/package/redis
ovikl,nodemailer,6.3.0,npm,N/A,5.2,6.5,✉️ Send e-mails with Node.JS – easy as cake!,17363,1412,10,30,6,"GHSA-46j5-6fg5-4gv3, GHSA-48ww-j4fc-435p, GHSA-9h6g-pr28-7cqp, GHSA-hwqf-gcqm-7353, GHSA-mm7p-fcc7-pg87, GHSA-rcmh-qjqh-p98v",8,None,https://deps.dev/npm/nodemailer/6.3.0,https://snyk.io/advisor/npm-package/nodemailer,https://socket.dev/npm/package/nodemailer
ovikl,socket.io,2.0.4,npm,N/A,5.7,5.8,Realtime application framework (Node.JS server),62706,10144,10,401,2,"GHSA-25hc-qcg6-38wj, GHSA-fxwf-4rqh-v8g3",0,None,https://deps.dev/npm/socket.io/2.0.4,https://snyk.io/advisor/npm-package/socket.io,https://socket.dev/npm/package/socket.io
ovikl,socket.io-redis,5.2.0,npm,N/A,4.2,3.7,Adapter to enable broadcasting of events to multiple separate socket.io server nodes.,2767,489,0,18,N/A,N/A,0,None,https://deps.dev/npm/socket.io-redis/5.2.0,https://snyk.io/advisor/npm-package/socket.io-redis,https://socket.dev/npm/package/socket.io-redis
